,c_a,unit,scp,station,linename,division,data,time,desc,entries,exits
106,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/16/18,19:00:00,REGULAR,1028598,3810514
107,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/16/18,23:00:00,REGULAR,1028701,3810735
108,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/17/18,3:00:00,REGULAR,1028716,3810750
109,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/17/18,7:00:00,REGULAR,1028723,3810851
110,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/17/18,11:00:00,REGULAR,1028759,3811707
111,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/17/18,15:00:00,REGULAR,1028826,3812017
112,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/17/18,19:00:00,REGULAR,1029068,3812529
113,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/17/18,23:00:00,REGULAR,1029166,3812755
114,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/18/18,3:00:00,REGULAR,1029181,3812772
115,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/18/18,7:00:00,REGULAR,1029183,3812875
116,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/18/18,11:00:00,REGULAR,1029221,3813744
117,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/18/18,15:00:00,REGULAR,1029284,3814097
118,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/18/18,19:00:00,REGULAR,1029534,3814652
119,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/18/18,23:00:00,REGULAR,1029627,3814925
120,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/19/18,3:00:00,REGULAR,1029643,3814948
121,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/19/18,7:00:00,REGULAR,1029649,3815038
122,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/19/18,11:00:00,REGULAR,1029693,3815890
123,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/19/18,15:00:00,REGULAR,1029745,3816217
124,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/19/18,19:00:00,REGULAR,1029995,3816823
125,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/19/18,23:00:00,REGULAR,1030094,3817010
126,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/13/18,3:00:00,REGULAR,563982,877414
127,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/13/18,7:00:00,REGULAR,563986,877463
128,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/13/18,11:00:00,REGULAR,564044,877701
129,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/13/18,15:00:00,REGULAR,564244,877972
130,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/13/18,19:00:00,REGULAR,564524,878285
131,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/13/18,23:00:00,REGULAR,564736,878457
132,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/14/18,3:00:00,REGULAR,564798,878501
133,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/14/18,7:00:00,REGULAR,564811,878519
134,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/14/18,11:00:00,REGULAR,564862,878658
135,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/14/18,15:00:00,REGULAR,565014,878917
136,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/14/18,19:00:00,REGULAR,565228,879170
137,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/14/18,23:00:00,REGULAR,565375,879276
138,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/15/18,3:00:00,REGULAR,565417,879298
139,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/15/18,7:00:00,REGULAR,565428,879385
140,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/15/18,11:00:00,REGULAR,565497,879883
141,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/15/18,15:00:00,REGULAR,565679,880200
142,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/15/18,19:00:00,REGULAR,566065,880556
143,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/15/18,23:00:00,REGULAR,566281,880708
144,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/16/18,3:00:00,REGULAR,566317,880736
145,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/16/18,7:00:00,REGULAR,566332,880829
146,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/16/18,11:00:00,REGULAR,566480,881712
147,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/16/18,15:00:00,REGULAR,566667,882022
148,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/16/18,19:00:00,REGULAR,567208,882504
149,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/16/18,23:00:00,REGULAR,567487,882732
150,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/17/18,3:00:00,REGULAR,567524,882762
151,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/17/18,7:00:00,REGULAR,567538,882885
152,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/17/18,11:00:00,REGULAR,567660,883722
153,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/17/18,15:00:00,REGULAR,567863,883996
154,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/17/18,19:00:00,REGULAR,568379,884446
155,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/17/18,23:00:00,REGULAR,568660,884671
156,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/18/18,3:00:00,REGULAR,568706,884697
157,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/18/18,7:00:00,REGULAR,568718,884790
158,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/18/18,11:00:00,REGULAR,568854,885615
159,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/18/18,15:00:00,REGULAR,569067,885921
160,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/18/18,19:00:00,REGULAR,569596,886390
161,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/18/18,23:00:00,REGULAR,569881,886652
162,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/19/18,3:00:00,REGULAR,569948,886683
163,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/19/18,7:00:00,REGULAR,569972,886782
164,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/19/18,11:00:00,REGULAR,570105,887566
165,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/19/18,15:00:00,REGULAR,570309,887910
166,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/19/18,19:00:00,REGULAR,570879,888428
167,A002,R051,2/3/01,59 ST,NQR456W,BMT,1/19/18,23:00:00,REGULAR,571184,888621
168,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/13/18,3:00:00,REGULAR,5646240,7721077
